|   1   |      2       |       3      |       4      |       5      |       6      |       7      |       8      |       9      |       10     |       11     |       12     |      13       |
+-------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+--------------+---------------+

                       А. Балансовые счета
     Актив
|45108           2689797       48016370       50706167              0        1262543        1262543          13972        2319764        2333736        2675825       46959149       49634974|
|45205           1450397              0        1450397         285519              0         285519              0              0              0        1735916              0        1735916|
|45206           7163271        5177583       12340854         240613         947935        1188548         986557         221714        1208271        6417327        5903804       12321131|
|45207            339986        1481504        1821490          10013        1251357        1261370              0          69310          69310         349999        2663551        3013550|
|45208         426151179      243173948      669325127       28739075       19253978       47993053        1990215       14027514       16017729      452900039      248400412      701300451|
|45305            600000              0         600000              0              0              0              0              0              0         600000              0         600000|
|45606           6156951       67800107       73957058              0       26843201       26843201          79010       10550430       10629440        6077941       84092878       90170819|
|45801                 0         908562         908562              0          74994          74994              0          45079          45079              0         938477         938477|
|45806                 0              0              0        2572006              0        2572006        2572006              0        2572006              0              0              0|
|45812           8666502       18892451       27558953         297169        2337005        2634174         107912        1309278        1417190        8855759       19920178       28775937|
|45816                 0       10739091       10739091              0         408842         408842              0         438313         438313              0       10709620       10709620|
|45901                 0          85752          85752              0           2255           2255              0           4143           4143              0          83864          83864|
|45912            588391        2976935        3565326       21685116         866517       22551633       21197134         121165       21318299        1076373        3722287        4798660|
|45916                 0         504237         504237              0          60722          60722              0          65718          65718              0         499241         499241|
|47001             10000              0          10000          10000              0          10000          10000              0          10000          10000              0          10000|
|47002           6481194              0        6481194       78879674              0       78879674       82676989              0       82676989        2683879              0        2683879|
|47107           7999499              0        7999499              0              0              0              0              0              0        7999499              0        7999499|
|47301                 0           7425           7425              0          24278          24278              0            745            745              0          30958          30958|
|47302                 0        2045682        2045682              0       15684062       15684062              0       15761931       15761931              0        1967813        1967813|
|47307                 0        7764125        7764125              0         204150         204150              0         375100         375100              0        7593175        7593175|
|47404               325         310565         310890      458849091       10318673      469167764      458847349       10325511      469172860           2067         303727         305794|
|47408           1625000              0        1625000     1488957392      541270371     2030227763     1490378157      541270371     2031648528         204235              0         204235|
|47410                 0        7971396        7971396              0        1753345        1753345              0        1752725        1752725              0        7972016        7972016|
|47417                 0              0              0         428466              0         428466         428466              0         428466              0              0              0|
|47423            669644        1529246        2198890        1032636       15929099       16961735        1165505       16160316       17325821         536775        1298029        1834804|
|47427          40432734       19138676       59571410       26152741        3109556       29262297       30855476        4336831       35192307       35729999       17911401       53641400|
|47801           2361724              0        2361724              0              0              0             13              0             13        2361711              0        2361711|
|47802            999498        1221288        2220786        1353503          44622        1398125            728          43926          44654        2352273        1221984        3574257|
|47803                 0              0              0         396498              0         396498              0              0              0         396498              0         396498|
|50104                 0          60630          60630              0         147862         147862              0         148903         148903              0          59589          59589|
|50109                 0              0              0              0         403574         403574              0         403574         403574              0              0              0|
|50110                 0         206653         206653         400000        5259804        5659804         400000        5260824        5660824              0         205633         205633|
|50121              8444              0           8444           3522              0           3522           3351              0           3351           8615              0           8615|
|50205           3865731        1965591        5831322          22984        7226628        7249612          99863        7913480        8013343        3788852        1278739        5067591|
|50207          31226654              0       31226654        6299663              0        6299663        2767986              0        2767986       34758331              0       34758331|
|50208          38199790       18943191       57142981      334682258         584684      335266942      287389957         915241      288305198       85492091       18612634      104104725|
|50210                 0        3781537        3781537              0         109722         109722              0         182694         182694              0        3708565        3708565|
|50211           3632207       14036246       17668453          23012         469167         492179          62477        1901377        1963854        3592742       12604036       16196778|
|50218          45318872              0       45318872      286335884              0      286335884      331654756              0      331654756              0              0              0|
|50221           2927809              0        2927809        1310251              0        1310251         158898              0         158898        4079162              0        4079162|
|50307           3188896              0        3188896           8103              0           8103              0              0              0        3196999              0        3196999|
|50308           2483533              0        2483533           6328              0           6328              0              0              0        2489861              0        2489861|
|50311          14938820              0       14938820          88821              0          88821              0              0              0       15027641              0       15027641|
|50605           3378962              0        3378962              0              0              0              0              0              0        3378962              0        3378962|
|50606           6619875              0        6619875         661970              0         661970         480241              0         480241        6801604              0        6801604|
|50618            181729              0         181729         480241              0         480241         661970              0         661970              0              0              0|
|50621                 0              0              0           9643              0           9643           5318              0           5318           4325              0           4325|
|50705          50190673              0       50190673       50000000              0       50000000       50000000              0       50000000       50190673              0       50190673|
|50706         149138334              0      149138334      169097033              0      169097033      141488978              0      141488978      176746389              0      176746389|
|50707                 0      111294484      111294484              0        2926379        2926379              0        5376853        5376853              0      108844010      108844010|
|50708                 0       60924954       60924954              0        2015831        2015831              0        2444630        2444630              0       60496155       60496155|
|50718          28844880              0       28844880      139135095              0      139135095      167745321              0      167745321         234654              0         234654|
|50721          16348979              0       16348979        8426109              0        8426109        3474830              0        3474830       21300258              0       21300258|
|51401            421447              0         421447        2618553         340637        2959190        3040000         340637        3380637              0              0              0|
|51402                 0         341351         341351              0           2970           2970              0         344321         344321              0              0              0|
